pl_name,pl_masse,pl_rade,classification
TOI-837 b,118.228483,8.627744,Gas Giant
Qatar-8 b,117.91493,14.817183,Gas Giant
HATS-71 b,117.5971,10.902089,Gas Giant
TOI-2842 b,117.596511,12.359296,Gas Giant
HATS-47 b,117.27927,12.928662,Gas Giant
Kepler-553 b,116.007369,4.695378,Other/Unknown
WASP-63 b,115.37049,15.479599,Gas Giant
TOI-7041 b,114.418227,10.481376,Gas Giant
HATS-49 b,112.19399,8.601713,Gas Giant
TOI-5573 b,112.0,9.449795,Gas Giant
HAT-P-44 b,111.871,14.6452,Gas Giant
HD 149026 b,111.716505,8.160858,Gas Giant
NGTS-11 b,109.33352,9.069227,Gas Giant
Kepler-426 b,107.584355,11.608526,Gas Giant
K2-295 b,106.47305,10.398268,Gas Giant
TOI-1298 b,106.073456,9.633391,Gas Giant
WASP-20 b,105.941957,15.77442,Gas Giant
TOI-2421 b,105.83686,10.560654,Gas Giant
HATS-6 b,101.38777,11.345241,Gas Giant
K2-287 b,100.91077,9.415552,Gas Giant
TOI-3877 b,99.79812,11.868579,Gas Giant
WASP-151 b,99.480538,13.064311,Gas Giant
TOI-3486 b,99.162463,10.522984,Gas Giant
V1298 Tau d,98.526806,6.324652,Other/Unknown
HAT-P-51 b,98.209307,14.047743,Gas Giant
WASP-148 b,97.096694,8.501028,Gas Giant
TOI-2986 b,96.619836,8.807758,Gas Giant
TOI-1268 b,96.4,8.707641,Gas Giant
TOI-622 b,96.302007,9.268221,Gas Giant
WASP-83 b,96.143575,11.836773,Gas Giant
TOI-1775 b,96.0,8.371759,Gas Giant
TOI-4406 b,95.348522,11.668253,Gas Giant
WASP-181 b,95.03117,13.788187,Gas Giant
TOI-1296 b,95.006433,14.162478,Gas Giant
WASP-21 b,93.917765,13.237128,Gas Giant
NGTS-26 b,92.805895,14.885526,Gas Giant
Kepler-427 b,92.48818,11.534786,Gas Giant
HAT-P-19 b,90.368063,12.055167,Gas Giant
WASP-117 b,90.220121,11.634462,Gas Giant
WASP-126 b,89.6462,10.637114,Gas Giant
CoRoT-25 b,89.467095,12.10786,Gas Giant
TOI-4994 b,88.991954,8.819357,Gas Giant
WASP-39 b,88.928154,14.680208,Gas Giant
WASP-160 B b,88.35674,12.382455,Gas Giant
WASP-147 b,87.40325,12.110846,Gas Giant
WASP-131 b,86.290628,14.840333,Gas Giant
TOI-3757 b,85.3,12.218865,Gas Giant
HAT-P-38 b,84.858805,9.57839,Gas Giant
WASP-69 b,83.8952,11.454451,Gas Giant
HATS-43 b,82.95363,13.563036,Gas Giant
K2-329 b,82.6358,8.724046,Gas Giant
Kepler-170 b,82.6,3.043,Other/Unknown
TOI-5210 b,81.999729,11.164947,Gas Giant
TOI-2000 c,81.7,8.241175,Gas Giant
TOI-3629 b,79.933844,8.22952,Gas Giant
TOI-762 A b,79.77493,8.183358,Gas Giant
TOI-2583 A b,79.457102,14.095843,Gas Giant
TOI-6038 A b,78.5,5.56389,Other/Unknown
HATS-48 A b,77.23269,9.23336,Gas Giant
WASP-29 b,76.516693,8.463234,Gas Giant
V1298 Tau c,76.278818,5.265377,Other/Unknown
